abajur	lamp shade	абажур
aç	hungry	
acil	servisin	
ad	name	имя
adim	my name	мое имя
adin	your name	твое имя
Afiyet olsun!	Enjoy your meal!	Приятного аппетита!
ağ	network	сеть
ağaç	tree	дерево
ağustos	August	август
aile	family	
alkol	alcohol	алкоголь
altıncı	sixth	
anne	mother	мать
apartman	apartment house	многоквартирный дом
araba	car	машина
artı	plus	плюс (матем)
aşağıdaki	the following	
askı	hanger	вешалка
avukat	lawyer	юрист
ay	month	месяц
ayakkabı	shoe	ботинок
ayna	mirror	зеркало
az	less; few	мало
baba	father	отец
bağ	yard (vineyard)	сад, плантация (напр. виноградник)
bakalim	let's look	
balkon	balcony	балкон
bankacı	banker	
banyo	bathroom	ванная комната
bardak	glass (cup)	стакан
başarılı	succesful	
başlangiç	beginning	начало
bavul	suitcase	чемодан
bayrak	flag	флаг
bebek	baby	малыш
Ben	I, me	я
benim  	mine	мой
beşinci	fifth	
bey	mister	сэр
beyaz	white	белый
biblo	trinket	безделушка
bileklik	bracelet	
bilezik	bracelet	
bilgileri	information	
bilgisayar	computer	компьютер
bina	building	
bir kaç	a few	мало
birinci	first	
biz	we	мы
boğaz köprüsü	Bosphorus Bridge	Мост через Босфор
bol	plenty	много
bölme	divide (math)	деление (матем)
bölü	divide (math sign)	знак деления (матем)
boş	empty	
bügün	today	сегодня
bul	find	найти
bulaşik	dishes; wash up	посуда; очистить
bunlar	these	эти
bütün	all	
Buyurun!	Here you go	
buz	ice	лёд
buzdolabı	fridge	холодильник
cadde	avenue	
çalışkan	hard working	
çalışma	working	рабочий (прил., кабинет, стол)
çalışma masasi	working table	рабочий стол
çalışma odasi	working room	рабочая комната, кабинет
çam	glass (window)	стекло
çam	pine	сосна
çamaşir	washing	стирать
çamaşir makinesi	washing machine	стиральная машина
çamaşir room	laundry	прачечная комната
cami	mosque	мечеть
çanta	bag	сумка
çarpı	times (multiplication)	знак умножения  (матем)
çarpma	multiplication	умножение (матем)
çarşamba	Wednesday	среда
çaydanlık	kettle	чайник
ceket	jacket	пиджак
cetvel	ruller	линейка
cevap	answer	ответ
çiçek	flower	цветок
çift	double; couple	пара, два
çikolata	chocolate	шоколад
çim	grass	трава
çirkarma	extration	вычитание  (матем)
civciv	chick	цыпленок
çocuk	child	ребенок
çocuk odasi	children's room	детская комната
çokluk	plurality	множественное число
çop	rubish	
çorap	sock	носок
çorba	soup	суп
cuma	Friday	пятница
cumartesi	Saturday	суббота
cümle	sentence	
cüzdan	purse/wallet	кошелек
dağ	mountain	гора
daire	apartment	квартира
dal	branch	ветка
davlumbaz	paddle box	вытяжка
deftar	notebook	тетрадь
değil	not	нет
deniz	sea	море
dersler	lessons	урок, класс
dil	tongue	язык
dil bilgisi	grammar	
dinleme	listening	
diş	tooth	зуб
doğru	true	
doğum	birth	
doğun	birth	рождение
doktor	doctor	доктор
dokuzuncu	ninth	
dolap	cabinet	шкаф
dolduralım	fill in	
domates	tomato	помидор
dondurma	ice cream	мороженое
dördüncu	foutrh	
duş	shower	душ
duşakabin	shower cabin	душевая кабина
eczacı	pharmacist	
eczane	pharmacy	
eki 	suffix	суффикс
ekim	October	октябрь
ekmek	bread	хлеб
eksi	minus	минус (матем)
Ekvador	Ecuador	Эквадор
el çantası	hangbag	сумка
elbise	dress	платье
elbise dolabı	dress cabinet	шкаф для одежды
eldiven	glove	перчатка
elma	apple	яблоко
eşek	donkey	осел
eşittir	equal	равно  (матем)
eşleştirelim	let's match	
ev	house	дом
ev aksesuar	home accessory	аксессуары для дома
evli	married	
eylül	September	сентябрь
fare	mouse	мышь
Fas	Morocco	Морокко
fil	elephant	слон
fın	oven	печь (устройство)
fıncan	cup	чашка
fındık	hazelnut	фундук
fırın	oven; bakery	печь
fırıncı	baker	
fon	background	фон
Fransa	France	Франция
gardırop	wordrobe	гардероб (шкаф)
garson	waiter	официант
geçmiş olsun	get well soon	
geliş	arrival	
gemi	boat	лодка
gol	goal	гол (футбольный)
göre	according to	
Görüşmek üzere	See you	Увидимся!
Görüşürüz	See you later	увидимся позже
göz	eye	глаз
gözlük	eye-glasses	очки
gri	grey	серый
gül	rose	роза
gümüşçu	silversmith	
gün	days	день
güneş	sun	солнце
günler	days	дни
hafta	week	неделя
hafta içi	mid-week	рабочие дни недели
hafta sonu	weekend	выходные дни недели, уикэнд
halı	carpet	ковер
hangi	which?	какой?
harf	letter	буква
hasta mısın	are you sick?	
hastane	hospital	больница
havlu	towel	полотенце
havuç	carrot	морковь
hayal	dream	мечта
haziran	June	июнь
hazırlık	preparation	
hekim	physician	доктор (врач)
hemşire	nurse	медсестра
hesap	bill	счет
horoz	rooster	петух
Hoş bulduk!	Thank you! (For welcome)	Спасибо! (на добро пожаловать)
Hoş geldin!	Welcome!	Добро пожаловать!
Hoşça kal	Bye	Счастливо оставаться!
içi	intra-	внутри- (внутринедели)
ideal	ideal	идеал
iğne	needle	игла
ikinci	second	
ilçe	district	
ile	with	
ilkbahar	Spring	весна
ince	thin	тонкий
inci	pearl	жемчужина
inek	cow	корова
ingiltere	England	Англия
insan	human	человек
ip	rope	веревка
Iran	Iran	Иран
ise	if	
isim cumle	noun sentence	
Iyi dersler	Enjoy lessons!	Хороших уроков
Iyi geceler	Good night!	Доброй ночи
ıhlamur	linden	липа
ırmak	river	река
ışık	light	свет
ıspanak	spinach	шпинат
jaguar	jaguar	ягуар
jandarma	gendarme	жандармерия
jet 	jet (airplane)	реактивный самолет
jeton	token	жетон
jilet	razor blade	лезвие бритвы
kaç	how much	сколько?
kaçıncı	number of	
kağkıt	paper	бумага
kahve makinesi	coffee machine	кофемашина
kahverengi	brown	коричневый
kalabalık	crowded	многолюдный, переполненный
kalem	pen	ручка
kalın	thick	толстый
kalp	heart (organ)	сердце (орган)
kanguru	kangaroo	кенгуру
kasap	butcher	
kasiyer	cashier	
kasım	November	ноябрь
kat	floor	
kedi	cat	кошка
kim	who?	кто?
kimsin	who are you?	
kişi	person	
kitap	book	книга
kitaplık	bookshelf	книжная полка
kiz	girl	девочка
kırmızı	red	красный
kış	Winter	зима
klima	air conditioner	кондиционер
kol	arm	рука
koltuk	seat (sofa)	диван
kolye	necklace	
komodin	commode	тумбочка
konsol	console table	консольный шкаф, стол
köpek	dog	собака
köşk	mansion	особняк
köy	bay	бухта
kuaför	Hairdresser	
kul	creature (not the God)	человек, противоположность богу
kule	tower	башня
kumanda	remote control	пульт управления
küpe	earring	
kurutma makinesi	drying machine	сушильная машина
kuş	bird	птица
kutu	box	коробка
kütüphane	library	
kuyumcu	jeweler	
lacivert	navy blue	темно-синий
lamba	lamp	лампа
lavabo	sink	раковина
leylek	stork	аист
Libya	Libya	Ливия
limon	lemon	лимон
liste	list	
lokanta	restaurant	ресторан
lokum	turkish delight	лукум
mahalle	district	
makas	scissors	ножницы
manav	greengrocer	
market	shop	магазин
mart	March	март
masa	table	стол
mavi	blue	синий
mayis	May	май
maymun	monkey	обезьяна
mekan	place	
memur	civl servant	
merdiven	ladder / stairs	лестница
meşgul	busy	занятый
meslek	profession	
mevsim	season	сезон
mikrodalga	microwave	микроволновый
mısın	will you	
Mısır	Egypt	Египет
mor	purple	фиолетовый
mühendis	engineer	инженер
mumluk	candle holder	подсвечник
musluk	faucet	кран
müstakil	private	частный
mutfak	kitchen	кухня
mutlu	happy	
nane	mint	мята
nar	pomegranate	гранат
nasılsın	how are you?	как дела?
ne	what?	что?
ne haber?	What's up?	как дела?
ne kadar?	how much?	сколько стоит?
ne zaman	when?	когда?
nerelisin?	Where are you from?	вы откуда?
nine	grandma	бабушка
nisan	April	апрель
numara	number	номер
o	he; she	
ocak (mevsim)	January	январь
ocak (mutfak)	stove; fireplace	плита, камин
oda	room	
oğlan	boy	мальчик
öğrenci	student	ученик
öğretmen	teacher	учитель
okul	school	школа
okuma	reading	
okuyalım	let's read	
olumlu	positive	
olumlu soru	positive question	
olumsuz	negative	
ona	her; him	
onlar	thoise (far)	те (далеко)
onun	her; his	
onuncu	tenth	
ördek	duck	утка
orman	forest	лес
örnek	sample	
otobüs	bus	автобус
oturma odasi	living room	гостиная
ozaman	in that case	в этом случае
pamuk	cotton	хлопок
panjur	blinds	жалюзи
para	money	деньги
pastacı	pastry maker	
pastane	patisserie	
pazar	Sunday	воскресенье
pazartesi	Monday	понедельник
pembe	pink	розовый
pencere	window	окно
perde	curtain	занавеска
perşembe	Thursday	четверг
Peru	Peru	Перу
petrol	oil (crude oil, fossil)	нефть
piramit	pyramid	пирамида
polis	police	полиция
postacı	postman	почтальон
postancı	postman	
postane	post office	
radio	radio	радио
raf	shelf	полка
rakam	number; digit	
raket	racquet; bat	ракетка (бита)
renk	color	цвет
resepsiyonist	receptionist	
resim	picture	картина
resme	picture	картина
rol	role	роль
Rusya	Russia	Россия
saat	hour	час
sağ ol	Thanks	
şahis	person	
şahisler	people	
saksı	flowerpot	цветочный горшок
salı	Tuesday	вторник
salıncak	swing	качели
salyangoz	snail	улитка
sarı	yellow	желтый
şarkıcı	singer	певец
satiş danişman	sales consultant	
satiş göreylisi	sales associate	
sayfa	page	
sayı	count; number	
Şehir	city	
sehpa	coffee table	кофейный столик
şeker	sugar	сахар
sekizinci	eighth	
şemsiye	umbrella	зонтик
semt	district	
sen	you	
senbol	symbol	символ
sence	street	
sepet	basket	корзина
sesli	audible (vowel)	звучащий (гласный)
sessiz	quiet (consonant)	не звучащий (согласный)
seyahat	trip	поездка, путешествие
şifonyer	dresser	шифоньер
silgi	eraser	стирательная резинка
şişman	fat	
site	comlex; compound	
siyah	black	черный
siz	you (mult and polite)	
sınıf	class	учебный класс
sıra	desk	парта
sırada	next	
sırt çantası	backpack	рюкзак
şışe	bottle	бутылка
sokak	street	
sonbahar	Autumn	осень
sonu	end	конец
sonuncu	last	
soru	question	вопрос
sorun	problem	проблема
soyad	surname	фамилия
soyadim	my surname	моя фамилия
soyadin	your surname	твоя фамилия
şubat	February	февраль
Sudan	Sudan	Судан
şunlar	those	те
Suriye	Syria	Сирия
tahta	blackboard	доска (классная)
taksi	taxi	такси
takvim	calendar	календарь
Tanişma	meet	встреча
tanıştığımıza	to meet	встретиться
tarihi	date	дата
tekrar	repeat	повторить
temiz	clean	чистый
temmuz	July	июль
terlik	slipper	тапок
tezgâh	counter, working surface	рабочая поверхность, столешница
tezgahtar	clerk	
tilki	fox	лиса
top	ball	мяч
toplama	addition	сложение  (матем)
Türkiye	Turkey	Турция
turuncu	orange	оранжевый
uçak	airplane	самолет
üçüncü	third	
uçurtma	kite	воздушный змей
ülke	country	
ünlü	vowel	гласный
ünsüz	consonant	согласный
Ürdün	Jordan	Иордания
ütü	iron	утюг
uzak	far	далеко
üzüm	grape	виноград
valiz	suitcase	чемодан
vazo	vase	ваза
vida	screw	винт
yakın	near	рядом
yanliş	false	
yaşın	age	возраст
yaşında	years old	
yastık	pillow	подушка
yatak	bed	кровать
yatak odasi	bedroom	спальня
yaz	summer	лето
yazalım	let's wtire	
yazma	writing	
yedinci	seventh	
yemek	food	еда
yemek odasi	dining room	столовая (комната)
yer	place	
yeşil	green	зеленый
yik	destroy	разрушать
yil	year	год
yilan	snake	змея
yirminci	twentieth	
yoğun	busy; intentse	
yok	no; none	нет
yorgun	tired	
yuğurt	yogurt	йогурт
yüklemi	predicate	
yüklemi isim	predicate noun	
yumurta	egg	яйцо
yumuşak	soft	мягкий
yüz	face	лицо
yüzük	a ring (jewler)	
zayıf	weak	
zebra	zebra	зебра
zeytin	olive	оливка
zürafa	giraffe	жираф